furniture-10000101,ハロウィン-ゴシック・ベッド
furniture-20001213,窓を通じて、冬とともに訪れるインスピレーションを受け取れば、暖かい部屋で小さな詩が生まれる。
furniture-10001214,厳冬の和室-畳
furniture-20001214,イグサを編んだ天然の畳は、そのまま寝転がることができる。すべてを忘れて、ごろごろしよう！
furniture-10001301,鉄血工造-休眠ポットSP-B04
furniture-20001301,侵入者：毛布の柄、下へ滑り落ちていきそうです……//n代理人：人間の心理学を学ばないでください。毛布をひっくり返したらどうでしょう。
furniture-10001302,鉄血工造-モダンラグSP-H03
furniture-20001302,ハンター：巧妙なパターンで、3Dと錯覚することがしょっちゅう。//n侵入者：錯覚ではないかもしれませんよ。
furniture-10001303,鉄血工造-金属製椅子SP-F01
furniture-20001303,処刑人：確かにクールだが、スカートじゃない人形には合わねぇだろ……
furniture-10001304,鉄血工造-金属製椅子SP-F02
furniture-20001304,処刑人：確かにクールだが、スカートじゃない人形には合わねぇだろ……
furniture-10001305,鉄血工造-デザインライトSP-A06
furniture-20001305,アルケミスト：グリフィンの人形を入れれば、完璧な芸術品まであと一歩というところか。ハハ……
furniture-10001306,鉄血工造-バルコニーSP-A08
furniture-20001306,代理人：アーキテクト、こんど開けるときは外を確認してからにしてくださいな。デストロイヤーが何度もぶつかって泣いてますよ！
furniture-10001307,鉄血工造-スクエアフロアSP-D11
furniture-20001307,夢想家：この隙き間が生きていて、ある晩とつぜんあんたを吸い込んだとしたら……
furniture-10001308,鉄血工造-フロアランプSP-I04
furniture-20001308,侵入者：花はライトに騙されて夜に咲くのでしょうか？実際はどうであれ切ないですね……
furniture-10001309,鉄血工造-ソファSP-A09
furniture-20001309,アーキテクト：ソファ大好き！特にこういう風に上に引っ掛けるのが！//nゲーガー：クッションに髪を挟まないよう気をつけろよ。
furniture-10001310,鉄血工造-螺旋階段SP-F03
furniture-20001310,ハンター：こんな非効率な階段、カッコつけたロングスカートのやつにしか合わないだろ……
furniture-10001311,鉄血工造-多目的テーブルSP-Z08
furniture-20001311,代理人：今月はこれで3つ目ですよ。またアーキテクトが腰掛けてるのを見た人は、すぐに引きずりおろしてくださいな。//n代理人（補足）：特に彼女がデストロイヤーを抱っこしてるときは。
furniture-10001312,鉄血工造-プリズム壁紙SP-Z08
furniture-20001312,ゲーガー：明るさと周波数が調節できて、戦闘、日常、会議等、何にでも合ってコストも抑えられるからお勧めだ。
furniture-10001313,鉄血工造-操作コンソールSP-S03
furniture-20001313,ハンター：タッチスクリーン操作なのに……なんでキーボードが要るんだ？//nスケアクロウ：デストロイヤーのためだそうです。
furniture-10001314,鉄血工造-鉄血プラカードSP-A01
furniture-20001314,スケアクロウ：わたしが何者なのか、この世界とは、運命とは何なのかを永遠に忘れません。
furniture-10001315,鉄血工造-監視カメラSP-E01
furniture-20001315,処刑人：おい、なんで急にこんなもん用意してんだよ！//nスケアクロウ：……知りたくないんですか、誰がわたしたちの割引券を盗んだのか？
furniture-10001316,鉄血工造-監視カメラSP-E02
furniture-20001316,処刑人：おい、なんで急にこんなもん用意してんだよ！//nスケアクロウ：……知りたくないんですか、誰がわたしたちの割引券を盗んだのか？
furniture-10001317,鉄血工造-格子窓SP-I04
furniture-20001317,侵入者：ずっと見てると監禁されてるような気がしてきますね…… //n//n夢想家：もしかしたら、外こそが監獄かもよ。
furniture-10001401,クリスマス-そり型ベッド
furniture-20001401,「さあ、こんなに素晴らしい天気なんだ、一緒にそりで滑ろう！」
furniture-10001402,クリスマス-ホーリーラグ
furniture-20001402,「ジングルベール、ジングルベール、鈴がぁ鳴るぅ～！今日はぁ楽しいークリスマス、オー！」
furniture-10001403,クリスマス-Xmas一人掛けソファ(左)
furniture-20001403,「去年のクリスマスは、私が真心を捧げたのに、あなたは翌日、編制拡大したのよ！」
furniture-10001404,クリスマス-Xmas一人掛けソファ(右)
furniture-20001404,「去年のクリスマスは、私が真心を捧げたのに、あなたは翌日、編制拡大したのよ！」
furniture-10001405,クリスマス-聖夜の蓄音機
furniture-20001405,「いつまでも、いつまでも、あなたの横で歌を唄い、花とともに舞い、鳥とともにありたい。」
furniture-10001406,クリスマス-司令部の暖炉
furniture-20001406,「彼は君がぐっすり眠っている間に訪れる。君がいい子にしてたかどうかも知っているぞ。……いいかP7、今晩はぜったい暖炉に火を起こすなよ！」
furniture-10001407,クリスマス-あったかフローリング
furniture-20001407,「彼らは外で縮こまって羊の番をする。寒い冬の夜はとても長い。」
furniture-10001408,クリスマス-Xmasソファ
furniture-20001408,「外は寒風が吹きすさんでいるが、家の中は暖炉が赤々と燃え、君も私ももう出かける必要もない。雪よ、風に乗って好きに舞え！」
furniture-10001409,クリスマス-聖夜のディナーテーブル
furniture-20001409,「あなたに吉報を告げて上げて、あなたに祝福を差し上げて、だからご馳走させてね！」
furniture-10001410,クリスマス-司令部クリスマスツリー
furniture-20001410,「子供たちへのプレゼントはカラフルにラッピングされているし、私はサンタクロースはただの伝説なんかじゃないと思う。」
furniture-10001411,クリスマス-Xmasデコウォール
furniture-20001411,「ほら、あそこにヤドリギの枝が掛けられている。あの人が君を待ってるんだよ……」
furniture-10001412,クリスマス-Xmas壁飾り
furniture-20001412,「約束よ。口づけを交わし、互いに胸の内を明かす。満天の星空の下、遥かな貴方に一言、メリークリスマス！」
